Treatment	MainRoot	Type	Specific	InhibitedStrain	InhibitorStrain
MF224-CL21	0.4145454545	Duo	Duo	MF224	CL21
MF224-CL21	0.7124710744	Duo	Duo	MF224	CL21
MF224-CL21	1.2123719008	Duo	Duo	MF224	CL21
MF224-CL21	1.0904049587	Duo	Duo	MF224	CL21
MF224-CL71	1.7992231405	Duo	Duo	MF224	CL71
MF224-CL71	2.541	Duo	Duo	MF224	CL71
MF224-CL71	1.3160991736	Duo	Duo	MF224	CL71
MF224-CL71	1.2731570248	Duo	Duo	MF224	CL71
MF224-CL71	0.5437024793	Duo	Duo	MF224	CL71
MF224-CL71	1.4276280992	Duo	Duo	MF224	CL71
MF224-CL71	1.2649752066	Duo	Duo	MF224	CL71
MF224-CL71	1.2105702479	Duo	Duo	MF224	CL71
MF224-CL71	0.9588181818	Duo	Duo	MF224	CL71
MF224-CL71	1.3207603306	Duo	Duo	MF224	CL71
MF224-MF220A	3.0605289256	Duo	Duo	MF224	MF220A
MF224-MF220A	3.4717024793	Duo	Duo	MF224	MF220A
MF224-MF220A	3.139322314	Duo	Duo	MF224	MF220A
MF224-MF220A	2.3766033058	Duo	Duo	MF224	MF220A
MF224-MF220A	2.9465123967	Duo	Duo	MF224	MF220A
MF224-MF220A	2.6500495868	Duo	Duo	MF224	MF220A
MF224-MF220A	2.5384132231	Duo	Duo	MF224	MF220A
MF224-MF220A	2.4963636364	Duo	Duo	MF224	MF220A
MF224-MF220A	2.7252644628	Duo	Duo	MF224	MF220A
MF224-MF397	2.5508181818	Duo	Duo	MF224	MF397
MF224-MF397	3.0083057851	Duo	Duo	MF224	MF397
MF224-MF397	2.2750578512	Duo	Duo	MF224	MF397
MF224-MF397	2.2323801653	Duo	Duo	MF224	MF397
MF224-MF397	2.1465950413	Duo	Duo	MF224	MF397
MF224-MF397	2.0198429752	Duo	Duo	MF224	MF397
MF224-MF397	2.3499586777	Duo	Duo	MF224	MF397
MF224-MF397	2.2344049587	Duo	Duo	MF224	MF397
MF224-MF397	3.3768016529	Duo	Duo	MF224	MF397
MF224-MF397	2.4901157025	Duo	Duo	MF224	MF397
MF224-MF369	6.8982892562	Duo	Duo	MF224	MF369
MF224-MF369	6.8474628099	Duo	Duo	MF224	MF369
MF224-MF369	6.7926446281	Duo	Duo	MF224	MF369
MF224-MF369	6.8436942149	Duo	Duo	MF224	MF369
MF224-MF369	7.2066115702	Duo	Duo	MF224	MF369
MF224-MF369	6.6068760331	Duo	Duo	MF224	MF369
MF224-MF369	6.2335950413	Duo	Duo	MF224	MF369
MF224-MF369	4.8389090909	Duo	Duo	MF224	MF369
MF224-MF369	6.4397933884	Duo	Duo	MF224	MF369
MF224-MF349	5.9988842975	Duo	Duo	MF224	MF349
MF224-MF349	5.7521570248	Duo	Duo	MF224	MF349
MF224-MF349	5.6364628099	Duo	Duo	MF224	MF349
MF224-MF349	6.3497107438	Duo	Duo	MF224	MF349
MF224-MF349	5.9889008264	Duo	Duo	MF224	MF349
MF224-MF349	5.9027024793	Duo	Duo	MF224	MF349
MF224-MF349	5.4058677686	Duo	Duo	MF224	MF349
MF224-MF349	6.2487190083	Duo	Duo	MF224	MF349
MF224-MF349	5.7851487603	Duo	Duo	MF224	MF349
MF224-MF278	5.2082892562	Duo	Duo	MF224	MF278
MF224-MF278	3.8535123967	Duo	Duo	MF224	MF278
MF224-MF278	3.802553719	Duo	Duo	MF224	MF278
MF224-MF278	4.8154793388	Duo	Duo	MF224	MF278
MF224-MF278	5.4049586777	Duo	Duo	MF224	MF278
MF224-MF278	5.4461487603	Duo	Duo	MF224	MF278
MF224-MF278	5.8848760331	Duo	Duo	MF224	MF278
MF224-MF278	5.3227272727	Duo	Duo	MF224	MF278
MF224-MF278	5.4577520661	Duo	Duo	MF224	MF278
MF224-MF278	3.9736859504	Duo	Duo	MF224	MF278
MF224-MF110	7.4482561983	Duo	Duo	MF224	MF110
MF224-MF110	8.2906363636	Duo	Duo	MF224	MF110
MF224-MF110	7.8289421488	Duo	Duo	MF224	MF110
MF224-MF110	7.803338843	Duo	Duo	MF224	MF110
MF224-MF110	7.7498677686	Duo	Duo	MF224	MF110
MF224-MF110	6.4467107438	Duo	Duo	MF224	MF110
MF224-MF110	7.190768595	Duo	Duo	MF224	MF110
MF224-MF110	7.1762644628	Duo	Duo	MF224	MF110
MF224-MF110	7.102	Duo	Duo	MF224	MF110
MF224-MF110	7.0910826446	Duo	Duo	MF224	MF110
MF224-MF375	5.7904628099	Duo	Duo	MF224	MF375
MF224-MF375	5.8509256198	Duo	Duo	MF224	MF375
MF224-MF375	5.965322314	Duo	Duo	MF224	MF375
MF224-MF375	4.0294380165	Duo	Duo	MF224	MF375
MF224-MF375	6.1879256198	Duo	Duo	MF224	MF375
MF224-MF375	5.6005041322	Duo	Duo	MF224	MF375
MF224-MF375	6.1352479339	Duo	Duo	MF224	MF375
MF224-MF375	6.1991404959	Duo	Duo	MF224	MF375
MF224-MF375	6.2638512397	Duo	Duo	MF224	MF375
MF224-MF160	6.7443057851	Duo	Duo	MF224	MF160
MF224-MF160	5.3400991736	Duo	Duo	MF224	MF160
MF224-MF160	6.6614876033	Duo	Duo	MF224	MF160
MF224-MF160	6.7455206612	Duo	Duo	MF224	MF160
MF224-MF160	7.1070909091	Duo	Duo	MF224	MF160
MF224-MF160	7.1919834711	Duo	Duo	MF224	MF160
