Sample_Id	Sample_Label	Plate	Position	Syncom	Condition	Experiment
FER035	VarioDO_stress_R2_070	4	C05	-sDOV	(MS)	VarioDO_stress_R2
FER036	VarioDO_stress_R2_071	4	D05	-sDOV	(MS)	VarioDO_stress_R2
FER037	VarioDO_stress_R2_072	4	E05	-sDOV	(MS)	VarioDO_stress_R2
FER038	VarioDO_stress_R2_073	4	F05	C	Contol	VarioDO_stress_R2
FER039	VarioDO_stress_R2_074	4	G05	C	Contol	VarioDO_stress_R2
FER040	VarioDO_stress_R2_075	4	H05	C_V	Contol	VarioDO_stress_R2
FER041	VarioDO_stress_R2_076	4	A06	C_V	Contol	VarioDO_stress_R2
FER042	VarioDO_stress_R2_077	4	B06	D	Contol	VarioDO_stress_R2
FER043	VarioDO_stress_R2_078	4	C06	D	Contol	VarioDO_stress_R2
FER044	VarioDO_stress_R2_079	4	D06	D_V	Contol	VarioDO_stress_R2
FER045	VarioDO_stress_R2_080	4	E06	D_V	Contol	VarioDO_stress_R2
FER046	VarioDO_stress_R2_081	4	F06	NB	control	VarioDO_stress_R2
FER047	VarioDO_stress_R2_082	4	G06	NB	control	VarioDO_stress_R2
FER048	VarioDO_stress_R2_083	4	H06	NB	control	VarioDO_stress_R2
FER049	VarioDO_stress_R2_084	4	A07	NB	(-P)	VarioDO_stress_R2
FER050	VarioDO_stress_R2_085	4	B07	NB	(-P)	VarioDO_stress_R2
FER051	VarioDO_stress_R2_086	4	C07	NB	(-P)	VarioDO_stress_R2
FER052	VarioDO_stress_R2_087	4	D07	NB	(+Na)	VarioDO_stress_R2
FER053	VarioDO_stress_R2_088	4	E07	NB	(+Na)	VarioDO_stress_R2
FER054	VarioDO_stress_R2_089	4	F07	NB	(+Na)	VarioDO_stress_R2
FER055	VarioDO_stress_R2_090	4	G07	NB	(31C)	VarioDO_stress_R2
FER056	VarioDO_stress_R2_091	4	H07	NB	(31C)	VarioDO_stress_R2
FER057	VarioDO_stress_R2_092	4	A08	NB	(31C)	VarioDO_stress_R2
FER058	VarioDO_stress_R2_093	4	B08	NB	(pH8.2)	VarioDO_stress_R2
FER059	VarioDO_stress_R2_094	4	C08	NB	(pH8.2)	VarioDO_stress_R2
FER060	VarioDO_stress_R2_095	4	D08	NB	(pH8.2)	VarioDO_stress_R2
FER061	VarioDO_stress_R2_096	4	E08	NB	(MS)	VarioDO_stress_R2
FER062	VarioDO_stress_R2_097	4	F08	NB	(MS)	VarioDO_stress_R2
FER064	VarioDO_001	4	H08	NB	control	VarioDO
FER065	VarioDO_002	4	A09	NB	control	VarioDO
FER066	VarioDO_003	4	B09	NB	control	VarioDO
FER067	VarioDO_004	4	C09	DOVB	control	VarioDO
FER068	VarioDO_005	4	D09	DOVB	control	VarioDO
FER069	VarioDO_006	4	E09	DOVB	control	VarioDO
FER070	VarioDO_007	4	F09	DOV	control	VarioDO
FER071	VarioDO_008	4	G09	DOV	control	VarioDO
