USeq	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	OverallContrast	Module
USeq10	82.3292577636563	-1.47920193680507	0.681165957381298	-2.17157349215127	0.0298878482421001	0.796811980845097	Root_30Pi_vs_Shoot_30Pi	RootvsShoot	D
USeq10	82.3292577636563	8.3110949443403	1.01527125490506	8.18608318140309	2.69865243516942e-16	1.1739138092987e-14	Shoot_8.2pH_vs_AgarPlant_8.2pH	ShootvsAgar	D
USeq10	82.3292577636563	7.43752682729724	0.76872799739749	9.67510855917412	3.846831644797e-22	3.34221059396422e-20	Shoot_31C_vs_AgarPlant_31C	ShootvsAgar	D
USeq10	82.3292577636563	7.01224579361033	1.02960222832695	6.8106357976758	9.71683409818827e-12	2.95391756584923e-10	Shoot_5.5pH_vs_AgarPlant_5.5pH	ShootvsAgar	D
USeq10	82.3292577636563	-1.275526067629	0.717733813681117	-1.77715755244562	0.0755423211871242	1	Root_7pH_vs_Shoot_7pH	RootvsShoot	D
USeq10	82.3292577636563	1.17331357738273	0.770150786934334	1.52348552684497	0.127637278945827	1	Root_200NaCl_vs_Shoot_200NaCl	RootvsShoot	D
USeq10	82.3292577636563	7.64649121220378	1.07049196556498	7.14296926849718	9.13360523666931e-13	2.68527993958078e-11	Root_50NaCl_vs_AgarPlant_50NaCl	RootvsAgar	D
USeq10	82.3292577636563	5.53930954025638	1.02473024656264	5.40562705047254	6.45820526562822e-08	8.33695588835643e-07	Root_1000Pi_vs_AgarPlant_1000Pi	RootvsAgar	D
USeq10	82.3292577636563	0.264646322611257	0.676564408420967	0.391162052448065	0.695677455885456	0.976624120762275	Root_10Pi_vs_Shoot_10Pi	RootvsShoot	D
USeq10	82.3292577636563	5.15742598564188	0.893711194067335	5.77079712090223	7.88974180903862e-09	1.65684577989811e-07	Root_10Pi_vs_AgarPlant_10Pi	RootvsAgar	D
USeq10	82.3292577636563	-0.448251191923367	0.683471648657607	-0.655844602777259	0.511924114819514	1	Root_100Pi_vs_Shoot_100Pi	RootvsShoot	D
USeq10	82.3292577636563	6.00144953809022	0.761339568962168	7.88275006679502	3.20253239409439e-15	4.03519081655894e-13	Shoot_100NaCl_vs_AgarPlant_100NaCl	ShootvsAgar	D
USeq10	82.3292577636563	6.76361620534261	0.960042512140299	7.04512156473566	1.85299659950086e-12	9.38851610413768e-11	Shoot_50Pi_vs_AgarPlant_50Pi	ShootvsAgar	D
USeq10	82.3292577636563	4.49682319254289	0.987171740505848	4.55525924013852	5.23210114910268e-06	6.99198971743722e-05	Shoot_0Pi_vs_AgarPlant_0Pi	ShootvsAgar	D
USeq10	82.3292577636563	-0.749795642138297	0.697307035457285	-1.07527330718324	0.282252383245944	0.608994708359402	Root_100NaCl_vs_Shoot_100NaCl	RootvsShoot	D
USeq10	82.3292577636563	7.11454241554722	0.864080212593338	8.23365969022083	1.81579049626971e-16	5.44737148880913e-15	Root_150NaCl_vs_AgarPlant_150NaCl	RootvsAgar	D
USeq10	82.3292577636563	-0.901146916873946	0.692070933123955	-1.30210195767974	0.192881534037202	1	Root_1000Pi_vs_Shoot_1000Pi	RootvsShoot	D
USeq10	82.3292577636563	4.89277966303062	0.89516665306443	5.46577516742959	4.60888216135784e-08	1.00627260522979e-06	Shoot_10Pi_vs_AgarPlant_10Pi	ShootvsAgar	D
