Gene	Mean_zscore_NoBacteriaTripartite	Mean_zscore_VariovoraxCL14	Mean_zscore_ArthrobacterCL28	Mean_zscore_Duoassociation	GLM_ArthrobacterCL28vsNB_log2FoldChange	GLM_ArthrobacterCL28vsNB_pvalue	GLM_ArthrobacterCL28vsNB_padj	GLM_ArthrobacterCL28vsDuoassociation_log2FoldChange	GLM_ArthrobacterCL28vsDuoassociation_pvalue	GLM_ArthrobacterCL28vsDuoassociation_padj	Mean_zscore_NoBacteriaDropout	Mean_zscore_Full	Mean_zscore_VariovoraxDropout	GLM_VariovoraxDropoutvsNB_log2FoldChange	GLM_VariovoraxDropoutvsNB_pvalue	GLM_VariovoraxDropoutvsNB_padj	GLM_VariovoraxDropoutvsFull_log2FoldChange	GLM_VariovoraxDropoutvsFull_pvalue	GLM_VariovoraxDropoutvsFull_padj
AT3G29410	-0.963172293422471	0.335496687378532	0.808669075134696	-0.566262386459739	0.966596711405942	0.000203456348372706	0.0179080901804382	0.766872324560374	0.000630378590978313	0.0506561315766077	-0.296831903789254	-0.441725129890482	0.896101405901387	0.296711876006442	0.23904312354287	0.879685772668797	0.328089981304573	0.196314183758267	0.945911956039673
AT3G48390	1.42835997481836	-0.303733223154938	0.297834281289225	-0.851117043025304	-0.408921267604867	0.0235740882453604	0.391183868698056	0.417601285409397	0.0160081189827944	0.367125524222266	-1.43485066376575	0.744828927464756	-0.56124348032405	0.77919952292402	0.00139788382679914	0.0694894421354145	-0.932440148894232	3.10779303023392e-05	0.023049879346639
AT3G49960	-0.942673377122935	-0.332137580109743	1.35287404916478	-0.455132442781274	2.3825989046592	2.13754963519482e-11	1.18018649555302e-08	1.68126591068772	2.19325823140568e-09	2.13174256005816e-06	0.0867020253298648	-1.33632870347917	0.97635507790041	1.03718246064882	0.0368835569597426	0.477913985428056	3.56384172332021	2.5904026331011e-07	0.000600390570287007
AT3G54590	-1.02607205909676	0.0591048279148635	1.07178882108762	-0.51525041354443	1.02028090793278	1.45705578906038e-05	0.00217483382868249	0.74721185305567	0.000238156660232553	0.024986415038512	-0.72364488797989	-0.967824033173462	1.26561732503594	1.16737073538335	6.37630438014365e-10	3.47733634754775e-07	1.33813726113987	2.02337925871513e-12	3.7517498215096e-08
AT3G62680	-1.0304222779268	-0.123113389060363	1.2712735248248	-0.529906769008355	1.36894695722586	9.37358194933925e-11	4.49438587149898e-08	1.01502200472402	1.47181656306899e-08	1.03590509892418e-05	-0.891532018982852	-0.701781757876591	1.30438773238409	1.66759744778986	2.5223750002689e-09	1.16924693137465e-06	1.46406566978344	1.27977171683136e-07	0.000395492119558118
AT4G02270	-0.756399785325761	-0.345568291426879	1.2056968790722	-0.406288716449868	1.10677591508572	2.12424097477086e-05	0.00297720542771731	0.889205238008149	6.80712975511805e-05	0.00920134605508043	-0.972027650932834	-0.908404616077304	1.1479014115881	1.63656148753261	5.18863684306086e-08	1.65454539853882e-05	1.48337768133025	6.52807186863257e-07	0.00121043508588185
AT4G08400	-0.936412277454123	-0.137214932488118	1.24913703345499	-0.550074734494396	1.71541063627073	1.07219443516042e-08	4.06987137679643e-06	1.37153051438759	5.14703737568169e-08	2.62640449687598e-05	-0.177702920516807	-1.11150560883104	1.19938230425178	1.2410452085513	0.00207020363315698	0.0876912378625992	2.29372224661871	4.86110467548489e-07	0.00100149558769823
AT4G08410	-1.0832151372258	-0.193840482668827	1.30902212889995	-0.465252563895643	1.86610764670265	3.7626117831847e-13	4.89677047783037e-10	1.29933385812272	6.80431602550487e-10	8.16958202332823e-07	-0.178467836450264	-1.08914870728484	1.43766385812229	1.32022031268712	0.000110055111850514	0.0102032094196612	2.27180787065763	1.77087495131602e-09	1.09451877824339e-05
AT4G12550	0.841271251269593	-0.0641192839947686	0.137319139001841	-0.577962605768829	-0.415622894545633	0.244878571760843	0.845652636702347	0.420623336916636	0.202769312037091	0.877575087699332	-1.30127285232366	0.0439345765018251	1.458742705272	1.98909819450517	5.40647020994338e-14	7.71129004867462e-11	0.905292612971021	0.000184865970227212	0.0761729959989546
AT4G13390	-1.13131482337834	-0.355168956998878	1.3382312294253	-0.30427337839942	3.05973293995857	1.22057587376549e-15	2.77986155250091e-12	1.73527235620923	1.75643529406099e-08	1.19502002623597e-05	-0.940839840080526	-0.70710008581634	1.31257754823613	2.44095886951327	4.25611685846556e-08	1.41789172384731e-05	2.10249875759431	1.79394466049948e-06	0.00237595156392724
