AGI code	Symbol	logFC	pVal	qVal
AT2G39420	AT2G39420	7.65E-01	9.90E-11	9.168E-09
AT5G18010	SAUR19	7.64E-01	1.66E-07	0.000009751
AT1G13245	RTFL17	7.62E-01	3.99E-14	5.855E-12
AT4G17490	ERF6	7.59E-01	3.18E-07	0.00001746
AT5G18050	SAUR22	7.54E-01	5.99E-07	0.00003113
AT5G25460	DGR2	7.48E-01	2.16E-27	8.33E-25
AT1G29510	SAUR67	7.47E-01	1.47E-07	0.000008719
AT1G08430	ATALMT1	7.44E-01	3.34E-07	0.00001827
AT4G27290	AT4G27290	7.40E-01	3.98E-07	0.00002135
AT1G34110	AT1G34110	7.39E-01	2.72E-18	5.988E-16
AT1G60010	AT1G60010	7.37E-01	1.81E-14	2.812E-12
AT3G03830	SAUR28	7.35E-01	7.01E-07	0.0000359
AT3G61460	BRH1	7.35E-01	7.78E-18	1.599E-15
AT4G35770	SEN1	7.33E-01	5.50E-07	0.00002888
AT5G44260	TZF5	7.25E-01	1.24E-08	8.552E-07
AT5G03668	AT5G03668	7.22E-01	4.97E-10	4.224E-08
AT5G22580	AT5G22580	7.12E-01	1.25E-10	1.151E-08
AT5G65300	AT5G65300	7.10E-01	3.92E-06	0.0001665
AT4G05100	MYB74	7.09E-01	2.46E-06	0.0001099
AT1G36940	AT1G36940	7.07E-01	2.15E-06	0.00009796
AT1G69530	EXPA1	7.04E-01	1.57E-22	4.579E-20
AT3G19200	AT3G19200	7.04E-01	4.98E-06	0.000205
AT1G20680	AT1G20680	7.04E-01	4.98E-06	0.000205
AT5G66650	AT5G66650	7.04E-01	1.17E-06	0.00005756
AT1G67900	AT1G67900	7.03E-01	1.54E-11	1.635E-09
AT1G77280	AT1G77280	7.02E-01	2.62E-08	0.000001691
AT4G35200	AT4G35200	6.94E-01	7.60E-06	0.0002959
AT4G13130	AT4G13130	6.94E-01	1.97E-06	0.00009088
AT5G12050	AT5G12050	6.88E-01	1.61E-11	1.7E-09
AT4G01630	EXPA17	6.84E-01	2.86E-06	0.0001258
