Length	SynCom	Experiment	Condition	Rep
6.133793388	DOV	Abiotic	-P	Rep2
5.492504132	DOV	Abiotic	-P	Rep2
2.925619835	DOV	Abiotic	-P	Rep2
6.036264463	DOV	Abiotic	-P	Rep2
4.149471074	DOV	Abiotic	-P	Rep2
5.431338843	DOV	Abiotic	-P	Rep2
5.739231405	DOV	Abiotic	-P	Rep2
6.251520661	DOV	Abiotic	-P	Rep2
6.372338843	DOV	Abiotic	-P	Rep2
7.037702479	DOV	Abiotic	-P	Rep2
6.110504132	DOV	Abiotic	-P	Rep2
5.08868595	DOV	Abiotic	-P	Rep2
5.852082645	DOV	Abiotic	-P	Rep2
6.027041322	DOV	Abiotic	-P	Rep2
6.191504132	DOV	Abiotic	-P	Rep2
5.831719008	DOV	Abiotic	-P	Rep2
5.209504132	DOV	Abiotic	-P	Rep2
6.024743802	DOV	Abiotic	-P	Rep2
5.930752066	DOV	Abiotic	-P	Rep2
6.624479339	DOV	Abiotic	-P	Rep2
6.646892562	DOV	Abiotic	-P	Rep2
5.852553719	DOV	Abiotic	-P	Rep2
1.752380165	DOV	Abiotic	pH8.2	Rep2
1.423024793	DOV	Abiotic	pH8.2	Rep2
1.487603306	DOV	Abiotic	pH8.2	Rep2
0.902305785	DOV	Abiotic	pH8.2	Rep2
1.431066116	DOV	Abiotic	pH8.2	Rep2
0.946636364	DOV	Abiotic	pH8.2	Rep2
1.033289256	DOV	Abiotic	pH8.2	Rep2
1.227157025	DOV	Abiotic	pH8.2	Rep2
0.734	DOV	Abiotic	pH8.2	Rep2
1.125909091	DOV	Abiotic	pH8.2	Rep2
1.194206612	DOV	Abiotic	pH8.2	Rep2
1.388429752	DOV	Abiotic	pH8.2	Rep2
1.256636364	DOV	Abiotic	pH8.2	Rep2
1.322727273	DOV	Abiotic	pH8.2	Rep2
1.356983471	DOV	Abiotic	pH8.2	Rep2
1.091413223	DOV	Abiotic	pH8.2	Rep2
0.55414876	DOV	Abiotic	pH8.2	Rep2
1.520661157	DOV	Abiotic	pH8.2	Rep2
1.342413223	DOV	Abiotic	pH8.2	Rep2
1.35577686	DOV	Abiotic	pH8.2	Rep2
1.22492562	DOV	Abiotic	pH8.2	Rep2
1.260107438	DOV	Abiotic	pH8.2	Rep2
1.35577686	DOV	Abiotic	pH8.2	Rep2
1.157495868	DOV	Abiotic	pH8.2	Rep2
1.65322314	DOV	Abiotic	pH8.2	Rep2
1.621181818	DOV	Abiotic	pH8.2	Rep2
1.456049587	DOV	Abiotic	pH8.2	Rep2
1.157495868	DOV	Abiotic	pH8.2	Rep2
1.157495868	DOV	Abiotic	pH8.2	Rep2
2.383834711	DOV	Abiotic	Na	Rep2
2.317115702	DOV	Abiotic	Na	Rep2
2.479561983	DOV	Abiotic	Na	Rep2
1.307768595	DOV	Abiotic	Na	Rep2
1.531404959	DOV	Abiotic	Na	Rep2
0.297520661	DOV	Abiotic	Na	Rep2
1.562487603	DOV	Abiotic	Na	Rep2
2.548884298	DOV	Abiotic	Na	Rep2
2.612404959	DOV	Abiotic	Na	Rep2
2.161181818	DOV	Abiotic	Na	Rep2
2.208842975	DOV	Abiotic	Na	Rep2
1.774933884	DOV	Abiotic	Na	Rep2
1.921289256	DOV	Abiotic	Na	Rep2
2.579586777	DOV	Abiotic	Na	Rep2
2.369421488	DOV	Abiotic	Na	Rep2
0.827520661	DOV	Abiotic	Na	Rep2
3.052107438	DOV	Abiotic	Na	Rep2
2.429371901	DOV	Abiotic	Na	Rep2
2.146595041	DOV	Abiotic	Na	Rep2
2.330710744	DOV	Abiotic	Na	Rep2
2.906016529	DOV	Abiotic	Na	Rep2
0.972330579	DOV	Abiotic	Na	Rep2
2.970661157	DOV	Abiotic	Na	Rep2
2.232644628	DOV	Abiotic	Na	Rep2
2.014983471	DOV	Abiotic	Na	Rep2
4.117942149	NB	Abiotic	MS	Rep2
2.938305785	NB	Abiotic	MS	Rep2
3.730892562	NB	Abiotic	MS	Rep2
6.170768595	NB	Abiotic	MS	Rep2
5.630066116	NB	Abiotic	MS	Rep2
5.317239669	NB	Abiotic	MS	Rep2
6.705958678	NB	Abiotic	MS	Rep2
6.546628099	NB	Abiotic	MS	Rep2
6.372090909	NB	Abiotic	MS	Rep2
5.00568595	NB	Abiotic	MS	Rep2
5.727322314	NB	Abiotic	MS	Rep2
6.187471074	NB	Abiotic	Control	Rep2
5.601528926	NB	Abiotic	Control	Rep2
6.597173554	NB	Abiotic	Control	Rep2
6.282380165	NB	Abiotic	Control	Rep2
5.674603306	NB	Abiotic	Control	Rep2
6.717338843	NB	Abiotic	Control	Rep2
5.531338843	NB	Abiotic	Control	Rep2
5.83168595	NB	Abiotic	Control	Rep2
5.860570248	NB	Abiotic	Control	Rep2
6.319586777	NB	Abiotic	Control	Rep2
6.056900826	NB	Abiotic	Control	Rep2
6.556628099	NB	Abiotic	Control	Rep2
6.578760331	NB	Abiotic	Control	Rep2
6.355793388	NB	Abiotic	Control	Rep2
4.085421488	NB	Abiotic	Control	Rep2
6.945371901	NB	Abiotic	Control	Rep2
6.664909091	NB	Abiotic	Control	Rep2
6.303570248	NB	Abiotic	Control	Rep2
5.893016529	NB	Abiotic	Control	Rep2
5.686338843	NB	Abiotic	Control	Rep2
6.118471074	NB	Abiotic	Control	Rep2
8.658504132	NB	Abiotic	Control	Rep2
7.157619835	NB	Abiotic	Control	Rep2
5.585504132	NB	Abiotic	Control	Rep2
7.326396694	NB	Abiotic	Control	Rep2
7.940082645	NB	Abiotic	Control	Rep2
6.720834711	NB	Abiotic	Control	Rep2
7.410049587	NB	Abiotic	Control	Rep2
6.874842975	NB	Abiotic	Control	Rep2
7.462586777	NB	Abiotic	-P	Rep2
7.540743802	NB	Abiotic	-P	Rep2
7.163264463	NB	Abiotic	-P	Rep2
7.158380165	NB	Abiotic	-P	Rep2
7.188471074	NB	Abiotic	-P	Rep2
6.715950413	NB	Abiotic	-P	Rep2
7.012082645	NB	Abiotic	-P	Rep2
7.008033058	NB	Abiotic	-P	Rep2
7.140801653	NB	Abiotic	-P	Rep2
6.501586777	NB	Abiotic	-P	Rep2
6.18246281	NB	Abiotic	-P	Rep2
6.458900826	NB	Abiotic	-P	Rep2
6.497570248	NB	Abiotic	-P	Rep2
7.016702479	NB	Abiotic	-P	Rep2
6.741793388	NB	Abiotic	-P	Rep2
6.160595041	NB	Abiotic	-P	Rep2
6.098818182	NB	Abiotic	-P	Rep2
7.717438017	NB	Abiotic	-P	Rep2
6.609429752	NB	Abiotic	-P	Rep2
6.683090909	NB	Abiotic	-P	Rep2
7.885892562	NB	Abiotic	-P	Rep2
6.253933884	NB	Abiotic	-P	Rep2
7.12092562	NB	Abiotic	-P	Rep2
6.861363636	NB	Abiotic	-P	Rep2
6.940818182	NB	Abiotic	-P	Rep2
7.068859504	NB	Abiotic	-P	Rep2
6.896173554	NB	Abiotic	-P	Rep2
7.053272727	NB	Abiotic	-P	Rep2
6.867950413	NB	Abiotic	-P	Rep2
